,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,OverallQual,OverallCond,MasVnrType,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalFinishedBsmtSF,TotalFinishedBsmtSF_BsmtQual_Interaction,TotalFullBaths,TotalHalfBaths,HouseAge,YearsSinceRemodel,TotalPorchArea
0,60,3,65.0,8450,1,0,3,3,1,2,2,CollgCr,7,5,2,196.0,4,3,4,3,0.0,5.0,0,150,856,6,5,1,5,856,854,0,1710,3,1,4,8,5.0,0,0,5.0,2003.0,2.0,2,548,3,3,2,0,0,0,0,0,2,2008,5.0,5,208500,706,2824,3,1,5,5,61
1,20,3,80.0,9600,1,0,3,3,1,1,2,Veenker,6,8,2,0.0,3,3,4,3,3.0,4.0,0,284,1262,6,5,1,5,1262,0,0,1262,3,1,3,6,5.0,1,3,5.0,1976.0,2.0,2,460,3,3,2,0,0,0,0,0,5,2007,5.0,5,181500,978,3912,2,1,31,31,298
2,60,3,68.0,11250,1,0,2,3,1,2,2,CollgCr,7,5,2,162.0,4,3,4,3,1.0,5.0,0,434,920,6,5,1,5,920,866,0,1786,3,1,4,6,5.0,1,3,5.0,2001.0,2.0,2,608,3,3,2,0,0,0,0,0,9,2008,5.0,5,223500,486,1944,3,1,7,6,42
3,70,3,60.0,9550,1,0,2,3,1,3,2,Crawfor,7,5,2,0.0,3,3,3,4,0.0,4.0,0,540,756,6,4,1,5,961,756,0,1717,3,1,4,7,5.0,1,4,4.0,1998.0,1.0,3,642,3,3,2,0,0,0,0,0,2,2006,5.0,4,140000,216,648,2,0,91,36,307
4,60,3,84.0,14260,1,0,2,3,1,1,2,NoRidge,8,5,2,350.0,4,3,4,3,2.0,5.0,0,490,1145,6,5,1,5,1145,1053,0,2198,4,1,4,9,5.0,1,3,5.0,2000.0,2.0,3,836,3,3,2,0,0,0,0,0,12,2008,5.0,5,250000,655,2620,3,1,8,8,276
5,50,3,85.0,14115,1,0,2,3,1,2,2,Mitchel,5,5,2,0.0,3,3,4,3,0.0,5.0,0,64,796,6,5,1,5,796,566,0,1362,1,1,3,5,5.0,0,0,5.0,1993.0,1.0,2,480,3,3,2,0,0,3,1,1,10,2009,5.0,5,143000,732,2928,2,1,16,14,390
6,20,3,75.0,10084,1,0,3,3,1,2,2,Somerst,8,5,3,186.0,4,3,5,3,2.0,5.0,0,317,1686,6,5,1,5,1694,0,0,1694,3,1,4,7,5.0,1,4,5.0,2004.0,2.0,2,636,3,3,2,0,0,0,0,0,8,2007,5.0,5,307000,1369,6845,3,0,3,2,312
7,60,3,80.0,10382,1,0,2,3,1,3,2,NWAmes,7,6,3,240.0,3,3,4,3,1.0,4.0,3,216,1107,6,5,1,5,1107,983,0,2090,3,1,3,7,5.0,2,3,5.0,1973.0,2.0,2,484,3,3,2,0,0,0,1,1,11,2009,5.0,5,200000,891,3564,3,1,36,36,667
8,50,2,51.0,6120,1,0,3,3,1,2,2,OldTown,7,5,2,0.0,3,3,3,3,0.0,0.0,0,952,952,6,4,1,3,1022,752,0,1774,2,2,3,8,4.0,2,3,4.0,1931.0,1.0,2,468,2,3,2,0,0,0,0,0,4,2008,5.0,4,129900,0,0,2,0,77,58,295
9,190,3,50.0,7420,1,0,3,3,1,3,2,BrkSide,5,6,2,0.0,3,3,3,3,0.0,5.0,0,140,991,6,5,1,5,1077,0,0,1077,2,2,3,5,5.0,2,3,5.0,1939.0,2.0,1,205,4,3,2,0,0,0,0,0,1,2008,5.0,5,118000,851,2553,2,0,69,58,4
